word;level
ab;A1.1
Abend;A1.1
abends;A1.1
aber;A1.1
absagen;A1.2
Absender;A1.2
Achtung;A1.2
Adresse;A1.1
Ahnung;A1.2
allein;A1.2
alles;A1.1
Alltag;A1.1
als;A1.2
also;A1.1
alt;A1.1
Altbau;A1.1
Altenpflegeheim;A1.2
Ampel;A1.2
an;A1.1
anbei;A1.2
andere;A1.1
anfangen;A1.2
Angabe;A1.1
Angebot;A1.1
Ankunftszeit;A1.2
anmelden;A1.1
Anmeldung;A1.1
Anorak;A1.2
Anrede;A1.2
anrufen;A1.1
Ansage;A1.2
Antwort;A1.1
antworten;A1.1
Anzeige;A1.1
anziehen;A1.2
Anzug;A1.2
Apfel;A1.1
Apfelsaft;A1.1
Apotheke;A1.2
April;A1.2
Arbeit;A1.1
arbeiten;A1.1
Arbeitstag;A1.2
Arbeitszimmer;A1.1
Arm;A1.2
Arzt/Ärztin;A1.2
atmen;A1.2
auch;A1.1
auf;A1.1
Aufgabe;A1.1
aufregen;A1.2
aufstehen;A1.1
aufwachsen;A1.2
Auge;A1.2
August;A1.2
aus;A1.1
Ausbildung;A1.2
ausfüllen;A1.2
Aushilfe;A1.2
Auskunft;A1.2
Aussage;A1.1
außerdem;A1.2
außerplanmäßig;A1.2
Auto;A1.2
Automechaniker/in;A1.2
Babynahrung;A1.1
backen;A1.2
Bäcker/in;A1.2
Bad;A1.1
baden;A1.1
Badewanne;A1.1
Badezimmer;A1.1
Bahn;A1.2
Bahnhof;A1.2
bald;A1.2
Balkon;A1.1
Ball;A1.2
Banane;A1.1
Bank;A1.2
Bauch;A1.2
Bauchschmerzen;A1.2
bauen;A1.2
Bauernhof;A1.1
Baum;A1.2
beantworten;A1.2
Becher;A1.1
beginnen;A1.1
bei;A1.1
beide;A1.1
beige;A1.2
Bein;A1.2
Beispiel;A1.1
bekommen;A1.1
benutzen;A1.1
bequem;A1.2
berichten;A1.2
Beruf;A1.2
beruflich;A1.2
Bescheid;A1.2
Besichtigungstermin;A1.1
besser;A1.1
Besserung;A1.2
besten (am besten);A1.2
bestimmt;A1.2
Besuch;A1.2
besuchen;A1.2
Betreff;A1.2
Bett;A1.1
bevor;A1.2
Bewegung;A1.2
bewölkt;A1.2
bezahlen;A1.2
Bibliothek;A1.2
Bier;A1.1
Bild;A1.1
bilden;A1.2
billig;A1.1
Birne;A1.1
bis;A1.1
bisschen;A1.1
Bistro;A1.1
bitte;A1.1
Blatt;A1.1
blau;A1.2
Blaubeere;A1.1
bleiben;A1.2
Bleistift;A1.1
blöd;A1.2
Blume;A1.2
Bluse;A1.2
Bohne;A1.1
brauchen;A1.1
braun;A1.2
Braut;A1.2
breit;A1.1
Brief;A1.2
Briefteil;A1.2
bringen;A1.2
Brot;A1.1
Brötchen;A1.1
Bruder;A1.1
Brust;A1.2
Buch;A1.1
buchstabieren;A1.1
Bürgerbüro;A1.2
Büro;A1.1
Bürokaufmann/Bürokauffrau;A1.2
Bus;A1.2
Bushaltestelle;A1.2
Café;A1.2
Cent;A1.1
Chef/in;A1.2
circa;A1.1
Cola;A1.1
Computer;A1.1
Computerprogramm;A1.2
Computerspiel;A1.1
Computersystem;A1.2
Couscous;A1.1
da;A1.1
dafür;A1.2
danach;A1.2
Dank;A1.2
danke;A1.1
dann;A1.1
darüber;A1.2
das;A1.1
Datum;A1.2
dauern;A1.2
dazu;A1.1
dein/deine;A1.1
denken;A1.2
denn;A1.1
der;A1.1
Deutsch;A1.1
Deutschkurs;A1.1
Deutschlandkarte;A1.2
Dezember;A1.2
Dialog;A1.1
die;A1.1
Diele;A1.1
Dienst;A1.2
Dienstag;A1.1
dieser/diese/dieses;A1.1
dir;A1.1
direkt;A1.1
doch;A1.1
Donnerstag;A1.1
dort;A1.1
Dose;A1.1
draußen;A1.1
dreimal;A1.2
dringend;A1.1
dritte;A1.2
du;A1.1
dunkel;A1.1
durch;A1.1
Durchsage;A1.2
dürfen;A1.2
Dusche;A1.1
eben;A1.2
Ei;A1.1
ein/eine;A1.1
einfach;A1.2
Einfamilienhaus;A1.1
einige;A1.1
einkaufen;A1.1
Einkaufsbummel;A1.2
Einkaufszettel;A1.1
einladen;A1.2
Einladung;A1.2
einmal;A1.1
einverstanden;A1.2
Einzelfahrkarte;A1.2
Eis;A1.2
Elektrogerät;A1.1
Ellbogen/Ellenbogen;A1.2
Eltern;A1.1
E-Mail;A1.1
Empfänger;A1.2
endlich;A1.1
eng;A1.2
Entschuldigung;A1.1
Entschuldigungsschreiben;A1.2
er;A1.1
Erbse;A1.1
Erdbeere;A1.1
Erdgeschoss;A1.1
erkälten;A1.2
Erkältung;A1.2
erklären;A1.1
ersetzen;A1.1
erst;A1.1
erste;A1.2
Erwachsene;A1.2
erzählen;A1.1
es;A1.1
essen;A1.1
etwas;A1.1
euch;A1.2
euer/eure;A1.2
Euro;A1.1
extra;A1.2
fahren;A1.2
Fahrer;A1.2
Fahrgast;A1.2
Fahrkarte;A1.2
Fahrrad;A1.2
fallen;A1.2
FALSCH;A1.1
Familie;A1.1
Familienfoto;A1.1
Familienname;A1.1
Familienstand;A1.1
fangen;A1.2
Farbe;A1.2
fast;A1.2
Februar;A1.2
Feier;A1.2
Feierabend;A1.2
feiern;A1.2
Feiertag;A1.1
Fenster;A1.1
Ferienhaus;A1.2
fernsehen;A1.1
Fernseher;A1.1
fertig;A1.1
Fest;A1.2
Fieber;A1.2
Film;A1.1
finden;A1.1
Finger;A1.2
Firma;A1.1
Fisch;A1.1
Flasche;A1.1
Fleisch;A1.1
flexibel;A1.2
Flughafen;A1.2
Flur;A1.1
Form;A1.1
Formular;A1.1
Foto;A1.1
fotografieren;A1.2
Frage;A1.1
fragen;A1.1
Frau;A1.1
frei;A1.1
Freitag;A1.1
freuen;A1.2
Freund/in;A1.1
freundlich;A1.2
frisch;A1.1
froh;A1.2
früh;A1.1
früher;A1.2
Frühling;A1.2
Frühstück;A1.1
frühstücken;A1.1
fühlen;A1.2
Führerschein;A1.2
für;A1.1
furchtbar;A1.2
Fußball;A1.1
Fußballspieler;A1.2
ganz;A1.1
Garage;A1.1
Garten;A1.1
Gartenparty;A1.2
Gast;A1.1
Gebäude;A1.2
geben;A1.2
geboren sein;A1.2
Geburtstag;A1.2
Geburtstagstorte;A1.2
geehrter/geehrte;A1.2
gefallen;A1.2
gegenseitig;A1.2
gegenüber;A1.2
gehen;A1.1
gelb;A1.2
Geld;A1.1
gemeinsam;A1.1
Gemüse;A1.1
gemütlich;A1.1
genau;A1.1
genauso;A1.2
geöffnet;A1.1
gepflegt;A1.1
gerade;A1.2
geradeaus;A1.2
Gerät;A1.1
gern;A1.1
Geschäft;A1.1
Geschenk;A1.2
geschieden;A1.1
Geschwister;A1.1
Gesicht;A1.2
Gespräch;A1.1
gestern;A1.1
Gesundheit;A1.2
Gesundheitskarte;A1.2
Getränk;A1.1
Gitarre;A1.2
Glas;A1.1
glauben;A1.2
gleich;A1.1
Gleis;A1.2
glücklich;A1.2
Glückstag;A1.2
Grad;A1.2
Gramm;A1.1
Grammatik;A1.1
grau;A1.2
grillen;A1.1
Grippe;A1.2
groß;A1.1
Größe;A1.1
grün;A1.1
Gruppe;A1.2
Gruß;A1.1
gucken;A1.2
gültig;A1.2
günstig;A1.2
gut;A1.1
Haar;A1.2
haben;A1.1
hageln;A1.2
halb;A1.1
