word;level
abdecken;B1.2
abdrehen;B1.2
Abfall;B1.1
Abflug;B1.1
Abgas;B1.1
abhängig;B1.2
abheften;B1.2
abnehmen;B1.2
Absage;B1.1
abschicken;B1.2
absichtlich;B1.2
absolvieren;B1.2
absprechen;B1.1
Abstellplatz;B1.1
Abteilungsleiter/in;B1.2
Abwasser;B1.1
abwechslungsreich;B1.2
Abwicklung;B1.2
achten;B1.2
AGB (=Allgemeine Geschäftsbedingungen);B1.1
aktiv;B1.1
akzeptieren;B1.1
Alkohol;B1.1
allerdings;B1.2
Allergie;B1.2
allergisch;B1.2
Alliierte;B1.1
Altenpfleger/in;B1.2
Alter;B1.1
Altöl;B1.1
Altpapier;B1.1
Aluminium;B1.1
amtlich;B1.2
Amtssprache;B1.1
Anbau;B1.2
andauernd;B1.1
anerkennen;B1.2
Anerkennung;B1.2
anfahren;B1.2
Anfang;B1.2
anfangs;B1.1
anfassen;B1.1
angenehm;B1.1
angewöhnen;B1.2
anheben;B1.1
ankündigen;B1.1
Anlage;B1.2
anmachen;B1.2
Annahme;B1.2
annulliert;B1.1
Anprobe;B1.1
anprobieren;B1.1
anrechnen;B1.2
anschauen;B1.1
ansehen;B1.2
anstatt;B1.1
ansteckend;B1.2
Anstellung;B1.2
Anstoß;B1.1
anstreichen;B1.1
anstrengend;B1.1
Anzeigetafel;B1.1
Arbeitskraft;B1.1
Arbeitslosigkeit;B1.1
Arbeitsstelle;B1.2
Arbeitsweise;B1.2
Arbeitszeit;B1.2
Ärger;B1.1
ärgerlich;B1.1
Art;B1.1
Artikelnummer;B1.1
ärztlich;B1.2
Assistenz;B1.2
Astronaut/in;B1.1
Asyl;B1.1
Atmung;B1.1
atmungsaktiv;B1.1
aufdrehen;B1.2
aufkommen;B1.2
aufmachen;B1.2
aufmerksam;B1.1
Aufregung;B1.1
Aufruf;B1.1
aufschreiben;B1.1
aufteilen;B1.1
Aufteilung;B1.2
Auftrag;B1.1
Auftragsnummer;B1.1
auseinandersetzen;B1.2
Ausgang;B1.1
ausgewogen;B1.2
ausliefern;B1.1
Ausnahme;B1.1
ausparken;B1.2
ausprobieren;B1.2
ausschalten;B1.2
ausschlafen;B1.2
Außenspiegel;B1.2
Ausstattung;B1.1
ausstellen;B1.2
Auswahl;B1.1
Auswanderer;B1.1
Auswanderung;B1.1
Auszug;B1.2
Autofahrer/in;B1.2
Automarke;B1.2
Autorennen;B1.1
Autoteil;B1.2
Autoversicherung;B1.2
Bachelor;B1.2
Balkongeländer;B1.1
Bankeinzug;B1.1
Bearbeitung;B1.2
bedenklich;B1.2
Bedingung;B1.2
befestigen;B1.1
befragen;B1.1
begeistern;B1.1
beglaubigen;B1.2
Beglaubigung;B1.2
Begleitperson;B1.1
behalten;B1.1
Behälter;B1.1
behaupten;B1.2
beherrschen;B1.2
beilegen;B1.2
Bekannte;B1.2
belasten;B1.1
Belastung;B1.1
beleidigen;B1.1
Beleidigung;B1.1
beliebt;B1.1
benötigen;B1.2
Benzin;B1.2
beobachten;B1.1
berechtigt;B1.1
bereits;B1.1
berufen;B1.2
Berufsbezeichnung;B1.2
Berufserfahrung;B1.2
Berufsleben;B1.2
Berufstätigkeit;B1.2
Besatzungszone;B1.1
beschädigen;B1.2
beschädigt;B1.1
bescheinigen;B1.2
beschimpfen;B1.1
Beschimpfung;B1.1
beschweren;B1.1
besiegen;B1.1
Besprechungszimmer;B1.2
Bestellhotline;B1.1
Betrag;B1.1
betreten;B1.1
Betriebswirtschaft;B1.2
betrunken;B1.2
beurteilen;B1.2
Beutel;B1.1
Bevölkerung;B1.2
Bewerbungsschreiben;B1.2
Bewohner/in;B1.1
bewusst;B1.2
Bezahlvorgang;B1.1
Biergarten;B1.1
Bilanzbuchhalter/in;B1.2
bio (=biologisch);B1.2
biologisch;B1.1
Bioprodukt;B1.2
bisher;B1.2
Blinker;B1.2
bloß;B1.2
Blumentopf;B1.1
bohren;B1.1
Bordkarte;B1.1
Boxen;B1.1
bremsen;B1.2
Briefpapier;B1.2
Bundeskanzler/in;B1.1
Bundesrepublik (BRD);B1.1
Bürger/in;B1.1
Bürgerkrieg;B1.1
Büroalltag;B1.2
Büroassistent/in;B1.2
Büromaterial;B1.2
Büroraum;B1.2
Bürozeit;B1.2
Callcenter;B1.1
Camper/in;B1.1
Campingplatz;B1.1
Catering;B1.2
Check-in-Schalter;B1.1
Chemikalie;B1.1
Chips;B1.1
Container;B1.1
Dach;B1.2
daneben;B1.2
Datenschutz;B1.1
Deckel;B1.1
demnächst;B1.1
Demokratie;B1.1
demokratisch;B1.1
Demonstration;B1.1
deswegen;B1.1
Detektivgeschichte;B1.1
Deutsche Demokratische Republik (DDR);B1.1
Diabetiker/in;B1.2
Diagramm;B1.1
dicht;B1.1
Diebstahl;B1.2
Dienstleistung;B1.2
Dienstreise;B1.1
Diskussion;B1.1
Dokumentation (Doku);B1.1
Döner;B1.2
doof;B1.1
Doppelbett;B1.1
doppelt;B1.1
Doppelzimmer (DZ);B1.1
Dorf;B1.2
dramatisch;B1.1
dran sein;B1.2
drinnen;B1.2
dumm;B1.1
durchlässig;B1.1
Durchschnitt;B1.1
durchschnittlich;B1.2
DVD;B1.1
ebenso;B1.1
ehemalig;B1.1
eher;B1.1
ehrlich;B1.1
Eierkarton;B1.1
Eierschale;B1.1
Eigentum;B1.1
eigenverantwortlich;B1.2
eilig;B1.1
einbrechen;B1.2
Einbrecher/in;B1.2
Einbruch;B1.2
einchecken;B1.1
einfallen;B1.1
einführen;B1.1
eingehen;B1.2
einhalten;B1.1
Einkommen;B1.2
einlegen;B1.1
einparken;B1.2
einreichen;B1.2
einschalten;B1.2
einschlafen;B1.1
einschreiben;B1.2
einseitig;B1.2
einsetzen;B1.1
einsperren;B1.1
Einsteigezeit;B1.1
einstellen;B1.1
Eintrittsdatum;B1.2
Einwanderung;B1.1
Einzelzimmer (EZ);B1.1
Eishockey;B1.1
Eiskunstlauf;B1.1
Eiweiß;B1.2
Elektroauto;B1.1
emotional;B1.1
Empfang;B1.2
empfangen;B1.2
enden;B1.1
Energiekosten;B1.2
Energiesparhaus;B1.1
Energiesparlampe;B1.1
Energieverschwendung;B1.2
englischsprachig;B1.2
entnehmen;B1.2
Entscheidung;B1.1
entspannend;B1.1
entsprechen;B1.1
entstehen;B1.1
enttäuschen;B1.2
Enttäuschung;B1.2
entwickeln;B1.1
Erdbeben;B1.1
Erde;B1.1
Erderwärmung;B1.1
Ereignis;B1.1
erfolgreich;B1.1
Ergänzung;B1.1
Ergebnis;B1.1
Erhalt;B1.2
erhältlich;B1.1
erhöhen;B1.1
erinnern;B1.1
Erinnerung;B1.1
erkennen;B1.2
Erklärung;B1.2
erkundigen;B1.2
Erlaubnis;B1.1
erleben;B1.1
erleichtern;B1.1
ernähren;B1.1
Ernährung;B1.2
Erstellung;B1.2
erwähnen;B1.1
eskalieren;B1.1
Esser/in;B1.2
Euroeinführung;B1.1
Europäische Union (EU);B1.1
eventuell;B1.1
exotisch;B1.1
Experte/Expertin;B1.1
Fähigkeit;B1.2
Fahrerseite;B1.2
fair;B1.1
falls;B1.1
Fan;B1.1
Fantasie;B1.2
färben;B1.2
Fax;B1.2
Fertiggericht;B1.2
Festanstellung;B1.2
festkleben;B1.1
festlegen;B1.2
fett;B1.2
finanziell;B1.2
Finanzwesen;B1.2
Firmensitz;B1.2
fix;B1.2
fleischfrei;B1.2
fleischlos;B1.2
fließend;B1.2
Flüchtling;B1.1
Flug;B1.1
Flugbegleiter/in;B1.1
Fluggast;B1.1
Fluggesellschaft;B1.1
Föhn;B1.2
fordern;B1.2
fördern;B1.1
Formalität;B1.2
förmlich;B1.2
Formulierung;B1.2
Förster/in;B1.1
Fortbildung;B1.2
Fotokopie;B1.2
Freiwillige;B1.2
Fremdsprache;B1.1
Freude;B1.1
Freundeskreis;B1.2
Frieden;B1.2
friedlich;B1.1
Frist;B1.1
fristgerecht;B1.1
fristlos;B1.1
Frisur;B1.2
Frust;B1.2
frustriert;B1.2
führen;B1.1
Führungszeugnis;B1.2
furchtbar;B1.2
Fußballclub;B1.1
füttern;B1.1
Gang;B1.2
garantieren;B1.2
Gastarbeiter/in;B1.1
Gate;B1.1
Gebrauchtwagen;B1.2
Gedanke;B1.2
Geduld;B1.2
geduldig;B1.2
Gefühl;B1.1
Gegenstand;B1.1
Gegenvorschlag;B1.1
Gegner/in;B1.1
Gehalt;B1.1
Gehaltsvorstellung;B1.2
Gemeinsamkeit;B1.2
Gemeinschaftsraum;B1.1
Gemüsehändler/in;B1.2
Gepäck;B1.1
Gepäckausgabe;B1.1
Gepäckband;B1.1
Geruch;B1.2
Geschäftsführer/in;B1.2
Geschäftsführung;B1.2
Geschmack;B1.2
gesetzlich;B1.1
gestattet sein;B1.1
Gesundheitszeugnis;B1.2
Getreide;B1.2
gewährleisten;B1.2
Gewohnheit;B1.1
Gewürz;B1.1
giftig;B1.1
gleichzeitig;B1.2
glutenfrei;B1.2
Golf;B1.1
Grenze;B1.1
gründen;B1.1
grundsätzlich;B1.2
Gutschein;B1.1
Haftpflicht;B1.2
Haftpflichtversicherung;B1.2
Hagel;B1.2
Halbpension (HP);B1.1
hämmern;B1.1
Handball;B1.1
Handgepäck;B1.1
Handlung;B1.2
Handwerker/in;B1.2
hart;B1.1
Hartweizen;B1.2
Haselnuss;B1.2
häufig;B1.2
Hauptgrund;B1.2
Hauptstadt;B1.1
Haushalt;B1.1
Heimat;B1.1
Heimweh;B1.2
heizen;B1.1
Heizkosten;B1.2
Herausforderung;B1.2
herkommen;B1.2
Herkunftsland;B1.2
herstellen;B1.1
Herstellung;B1.1
Herz;B1.1
hierher;B1.2
hilfsbereit;B1.2
historisch;B1.1
Hochwasser;B1.1
Hörer/in;B1.1
Horrorfilm;B1.1
Hostel;B1.1
Hügel;B1.2
Hülsenfrucht;B1.2
hygienisch;B1.1
Impressum;B1.1
indem;B1.2
individuell;B1.2
Industrie;B1.1
industriell;B1.2
Inlineskaten;B1.1
innerhalb;B1.1
insofern;B1.2
Instandhaltung;B1.1
Institution;B1.2
intern;B1.2
inzwischen;B1.2
irgendwann;B1.1
irgendwelche;B1.2
irgendwer;B1.2
irgendwie;B1.1
jahrelang;B1.1
Jahrhundert;B1.1
Jahrzehnt;B1.1
Jobbezeichnung;B1.2
Jude/Jüdin;B1.1
Jugendherberge;B1.1
Kaffeefilter;B1.1
Kamm;B1.2
Kandidat/in;B1.1
Kaskoversicherung;B1.2
Katalog;B1.1
Kauf;B1.1
Kaufbestätigung;B1.1
Käufer/in;B1.1
Kaufvertrag;B1.1
kaum;B1.1
Kilometer;B1.2
Kindheit;B1.1
kippen;B1.2
klettern;B1.1
Klima;B1.1
Klimawandel;B1.1
klug;B1.1
Kochbuch;B1.2
Kofferraum;B1.2
komfortabel;B1.1
Kommentator/in;B1.1
Kommissar/in;B1.1
Kommunikationsstärke;B1.2
kommunikativ;B1.2
Komödie;B1.1
Konferenzraum;B1.2
Konflikt;B1.1
König/in;B1.2
Konservendose;B1.1
Kontaktdaten;B1.2
Kopie;B1.2
Kopierer;B1.2
korrekt;B1.2
Kosmetik;B1.1
krachen;B1.2
Kratzer;B1.2
Krieg;B1.1
Kriegsende;B1.1
Krimi;B1.1
Krippe;B1.1
Kritiker/in;B1.1
kulinarisch;B1.2
kümmern;B1.2
Kundenbefragung;B1.1
kundenfreundlich;B1.1
Kündigung;B1.1
